remaining_time,robot_mode,alarm,robot_x,robot_y,robot_theta,tree 1,tree 2,tree 3,tree 4,tree 5,tree 6,tree 7,tree 8,tree 9,battery_level,temperature,water_robot_tank,water_ground_tank,leak 1,leak 2,leak 3,leak 4,leak 5,leak 6,leak 7,leak 8,leak 9,direction,avancement,left,right,front,back,space,left,right,push,wrench,leak 1,leak 2,leak 3,leak 4,leak 5,leak 6,leak 7,leak 8,leak 9,rm_alarm,errors,shortcuts
420,1,-1,7.012042045593263,5.9787373542785645,0.8190707564353943,1,0,1,1,1,1,1,1,1,10,20.0,0,76.19841269841163,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
419,1,-1,7.012042045593263,5.9787373542785645,0.8190707564353943,1,0,1,1,1,1,1,1,1,10,20.0,0,75.80952380952273,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
418,1,-1,7.012042045593263,5.9787373542785645,0.8190707564353943,1,0,1,1,1,1,1,1,1,9,20.0,0,75.53174603174496,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
417,1,-1,7.012042045593263,5.9787373542785645,0.8190707564353943,1,0,1,1,1,1,1,1,1,9,20.0,0,76.03174603174494,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
416,1,-1,8.069024085998535,7.1223554611206055,0.8282215595245361,1,0,1,1,1,1,1,1,1,8,20.0,0,75.47619047618937,0,1,0,0,0,0,0,0,0,0.009150803089141846,1.557264719961339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
415,1,-1,9.178902626037598,8.331333160400389,0.8336434960365295,1,0,1,1,1,1,1,1,1,8,20.0,0,74.92063492063379,0,1,0,0,0,0,0,0,0,0.005421936511993408,1.6411756307583534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
414,1,-1,10.31784439086914,9.588183403015137,0.8349802494049072,1,0,1,1,1,1,1,1,1,7,20.0,0,74.92063492063379,0,0,0,0,0,0,0,0,0,0.0013367533683776855,1.6961311494216302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
413,1,-1,11.434470176696776,10.8286771774292,0.8400259613990784,1,0,1,1,1,1,1,1,1,7,20.0,0,74.92063492063379,0,0,0,0,0,0,0,0,0,0.005045711994171143,1.6690350355625343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
412,1,-1,12.538140296936035,12.07887363433838,0.8541504740715027,1,0,1,1,1,1,1,1,1,6,20.0,0,74.92063492063379,0,0,0,0,0,0,0,0,0,0.014124512672424316,1.6676567138284824,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
411,1,-1,13.455815315246582,13.134682655334473,0.8633041977882385,1,0,1,1,1,1,1,1,1,6,20.0,0,74.92063492063379,0,0,0,0,0,0,0,0,0,0.00915372371673584,1.3988781676929514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2
