remaining_time,robot_mode,alarm,robot_x,robot_y,robot_theta,tree 1,tree 2,tree 3,tree 4,tree 5,tree 6,tree 7,tree 8,tree 9,battery_level,temperature,water_robot_tank,water_ground_tank,leak 1,leak 2,leak 3,leak 4,leak 5,leak 6,leak 7,leak 8,leak 9,direction,avancement,left,right,front,back,space,left,right,push,wrench,leak 1,leak 2,leak 3,leak 4,leak 5,leak 6,leak 7,leak 8,leak 9,rm_alarm,errors,shortcuts
540,1,-1,15.215826034545898,8.934403419494629,-1.663424015045166,0,0,0,0,0,0,1,1,1,98,20.0,80,0.7777777777777919,1,0,0,0,0,0,0,1,0,-5.6624412536621094e-05,2.8684883601580613,0.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,4
539,1,-1,15.215826034545898,8.934403419494629,-1.663424015045166,0,0,0,0,0,0,1,1,1,98,20.0,80,0.7777777777777919,1,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
538,1,-1,15.003106117248535,4.987733840942383,-1.5043987035751345,0,0,0,0,0,0,1,1,1,97,20.0,80,0.7777777777777919,1,0,0,0,0,0,0,1,0,0.15902531147003152,3.9523980727508663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,1
537,1,-1,15.110733032226562,3.3229591846466064,-1.5077515840530396,0,0,1,0,0,0,1,1,1,97,20.0,80,0.7777777777777919,0,0,0,0,0,0,0,0,0,-0.0033528804779050514,1.6682500439299883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0, -1,1
536,1,-1,15.216108322143555,1.6578613519668581,-1.5067687034606934,0,0,1,0,0,0,1,1,1,96,20.0,80,0.7777777777777919,0,0,0,0,0,0,0,0,0,0.0009828805923461914,1.668428825008692,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
535,1,-1,15.32433032989502,-0.006563052535057068,-1.5055683851242063,0,0,1,0,0,0,1,1,1,96,20.0,80,0.7777777777777919,0,0,0,0,0,0,0,0,0,0.0012003183364870385,1.667939028041287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
534,1,-1,15.43406581878662,-1.6715188026428225,-1.4997009038925169,0,0,1,0,0,0,1,1,1,95,20.0,80,0.7777777777777919,0,0,0,0,0,0,0,0,0,0.005867481231689453,1.6685681068926106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
533,1,-1,15.556246757507324,-3.335463523864746,-1.49543035030365,0,0,1,0,0,0,1,1,1,95,20.0,80,0.7777777777777919,0,0,0,0,0,0,0,0,0,0.0042705535888669655,1.6684244714906868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
532,1,-1,15.681539535522461,-4.9995598793029785,-1.4949514865875244,0,0,1,0,0,0,1,1,1,94,20.0,80,0.7777777777777919,0,0,0,0,0,0,0,0,0,0.0004788637161254883,1.6688064478559395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
531,1,-1,15.810490608215332,-6.663423538208008,-1.489085078239441,0,0,1,0,0,0,1,1,1,94,20.0,80,0.7777777777777919,0,0,0,0,0,0,0,0,0,0.005866408348083496,1.6688530955639787,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,2
