remaining_time,robot_mode,alarm,robot_x,robot_y,robot_theta,tree 1,tree 2,tree 3,tree 4,tree 5,tree 6,tree 7,tree 8,tree 9,battery_level,temperature,water_robot_tank,water_ground_tank,leak 1,leak 2,leak 3,leak 4,leak 5,leak 6,leak 7,leak 8,leak 9,direction,avancement,left,right,push,wrench,leak 1,leak 2,leak 3,leak 4,leak 5,leak 6,leak 7,leak 8,leak 9,rm_alarm,errors,shortcuts
510,1,-1,-0.06496097892522812,-9.1412992477417,-1.5318973064422607,1,0,1,0,1,0,1,0,1,55,20.0,0,32.24603174603106,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,2
509,1,6,-0.05563319101929665,-9.340822219848633,-1.5114139318466189,1,0,1,0,1,0,1,0,1,55,20.0,20,12.246031746031056,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,2
508,1,-1,-0.04696973785758018,-9.489642143249512,-1.5139590501785278,1,0,1,0,1,0,1,0,1,54,20.0,30,6.246031746031058,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,3
507,1,-1,-0.039521072059869766,-9.601810455322266,-1.4996172189712524,1,0,1,0,1,0,1,0,1,54,20.0,30,6.246031746031058,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,2
506,1,-1,-0.03397219628095627,-9.678915977478027,-1.499542236328125,1,0,1,0,1,0,1,0,1,53,20.0,30,6.246031746031058,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, click,2
505,1,-1,-0.03153090551495552,-9.712486267089844,-1.4967924356460571,1,0,1,0,1,0,1,0,1,53,20.0,30,6.246031746031058,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,3
504,1,-1,-0.03153090551495552,-9.712486267089844,-1.4967924356460571,1,0,1,0,1,0,1,1,1,52,20.0,30,7.230158730158044,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
503,1,-1,-0.03153090551495552,-9.712486267089844,-1.4967924356460571,1,0,1,0,1,0,1,1,1,52,20.0,30,10.66666666666598,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,4
502,1,-1,-0.03153090551495552,-9.712486267089844,-1.4967924356460571,1,0,1,0,1,0,1,1,1,51,20.0,40,3.388888888888204,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,1
501,1,-1,-0.03153090551495552,-9.712486267089844,-1.4967924356460571,1,0,1,0,1,0,1,1,1,51,20.0,40,3.857142857142172,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,3
