remaining_time,robot_mode,alarm,robot_x,robot_y,robot_theta,tree 1,tree 2,tree 3,tree 4,tree 5,tree 6,tree 7,tree 8,tree 9,battery_level,temperature,water_robot_tank,water_ground_tank,leak 1,leak 2,leak 3,leak 4,leak 5,leak 6,leak 7,leak 8,leak 9,direction,avancement,left,right,push,wrench,leak 1,leak 2,leak 3,leak 4,leak 5,leak 6,leak 7,leak 8,leak 9,rm_alarm,errors,shortcuts
410,1,-1,1.7435096502304075,-12.142789840698242,-0.05687449499964714,0,0,1,0,0,1,1,0,0,72,20.0,90,37.968253968253336,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,1
409,1,-1,3.4093706607818604,-12.234686851501465,-0.05639622732996941,0,0,1,0,0,1,1,0,0,72,20.0,90,40.97619047618984,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
408,1,-1,5.047268867492676,-12.325596809387207,-0.053810946643352515,0,0,1,0,0,1,1,0,0,71,20.0,90,44.5555555555549,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,2
407,1,-1,6.713458061218263,-12.410399436950685,-0.04390870407223702,0,0,1,0,0,1,1,0,0,71,20.0,90,45.35714285714221,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
406,1,-1,8.380508422851562,-12.481732368469238,-0.04353396221995354,0,0,1,0,0,1,1,0,0,70,20.0,90,45.35714285714221,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,1
405,1,-1,10.018898010253906,-12.549571990966795,-0.030044859275221825,0,0,1,0,0,1,1,0,0,70,20.0,90,45.35714285714221,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,1
404,1,-1,11.707487106323242,-12.60293960571289,-0.031751062721014016,0,0,1,0,0,1,1,0,0,69,20.0,90,45.35714285714221,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,1
403,1,-1,12.966485977172852,-12.63326930999756,-0.015426418744027616,0,0,1,0,0,1,1,0,0,69,20.0,90,45.35714285714221,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,2
402,1,-1,13.893890380859375,-12.64599323272705,-0.0008444942650385201,0,0,1,0,0,0,1,0,0,68,20.0,80,45.35714285714221,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1,1
401,1,-1,14.60557460784912,-12.646613121032715,-0.00012963064364157617,0,0,1,0,0,0,1,0,0,68,20.0,80,45.35714285714221,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -1, -1
